time,cases
2018.692308,0
2018.711538,0
2018.730769,0
2018.75,0
2018.769231,0
2018.788462,1
2018.807692,1
2018.826923,2
2018.846154,3
2018.865385,6
2018.884615,9
2018.903846,14
2018.923077,22
2018.942308,34
2018.961538,54
2018.980769,84
2019,133
2019.019231,209
2019.038462,328
2019.057692,515
2019.076923,804
2019.096154,1247
2019.115385,1913
2019.134615,2888
2019.153846,4259
2019.173077,6067
2019.192308,8226
2019.211538,10414
2019.230769,12036
2019.25,12435
2019.269231,11351
2019.288462,9216
2019.307692,6841
2019.326923,4817
2019.346154,3323
2019.365385,2290
2019.384615,1590
2019.403846,1115
2019.423077,789
2019.442308,563
2019.461538,404
2019.480769,291
2019.5,210
2019.519231,152
2019.538462,111
2019.557692,81
2019.576923,59
2019.596154,43
2019.615385,31
2019.634615,23
2019.653846,16
2019.673077,12
2019.692308,9
2019.711538,6
2019.730769,4
2019.75,3
2019.769231,2
2019.788462,2
2019.807692,1
2019.826923,1
2019.846154,0
2019.865385,0
2019.884615,0
2019.903846,0
2019.923077,0
2019.942308,0
2019.961538,0
2019.980769,0
2020,0
